"Cod.Cliente","Nome Cliente","Cidade","Estado"
"59711","SENDAS DISTRIBUIDORA S/A","BRASILIA","DF"
"59711","SENDAS DISTRIBUIDORA S/A","BRASILIA","DF"
"59711","SENDAS DISTRIBUIDORA S/A","BRASILIA","DF"
"31112","COMPANHIA BRASILEIRA DE DISTRIBUICAO","CAMPOS DO JORDAO","SP"
"42615","DMA DISTRIBUIDORA S/A","BELO HORIZONTE","MG"
"78661","WMS SUPERMERCADOS DO BRASIL LTDA","FERRAZ DE VASCONCELOS","SP"
"78661","WMS SUPERMERCADOS DO BRASIL LTDA","FERRAZ DE VASCONCELOS","SP"
"78661","WMS SUPERMERCADOS DO BRASIL LTDA","FERRAZ DE VASCONCELOS","SP"
"79228","MARTINS DOS REIS E CIA LTDA ME","BRASILIA","DF"
"44904","CRISTIANO DUARTE KRAS BORGES & CIA LTDA","OSORIO","RS"
"44904","CRISTIANO DUARTE KRAS BORGES & CIA LTDA","OSORIO","RS"
"79822","RMC COMERCIO DE ALIMENTOS LTDA","ALTOS","PI"
"73315","SENDAS DISTRIBUIDORA S.A","IPATINGA","MG"
"68099","BISTEK SUPERMERCADOS LTDA","SAO JOSE","SC"
"63968","SUPERMERCADO NOVA ESMERALDA DE PRAIA GRANDE LTDA","PRAIA GRANDE","SP"
"57706","ANCORA DISTRIBUIDORA DE ALIMENTOS LTDA","FORTALEZA","CE"
"52948","SUPER SELETO LTDA","SALGUEIRO","PE"
"43949","AUTO SERVICO PRAIA GRANDE LTDA","FUNDAO","ES"
"43949","AUTO SERVICO PRAIA GRANDE LTDA","FUNDAO","ES"
"43949","AUTO SERVICO PRAIA GRANDE LTDA","FUNDAO","ES"
"78830","ZES SUPERMERCADO LTDA","CARAZINHO","RS"
"78830","ZES SUPERMERCADO LTDA","CARAZINHO","RS"
"69905","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"69905","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"69905","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"69905","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"69905","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"78500","MERCANTIL NOVA ERA LTDA","BOA VISTA","RR"
"78500","MERCANTIL NOVA ERA LTDA","BOA VISTA","RR"
"30565","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"30565","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"30565","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"30565","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"30565","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"70018","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"70018","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"70018","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"70018","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"70018","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"70018","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"70018","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"70018","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"70018","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"70018","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"79052","M F C SUPERMERCADOS LTDA","UMUARAMA","PR"
"76758","LIDER COMERCIO E INDUSTRIA LTDA","BELEM","PA"
"31728","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO PAULO","SP"
"80170","KOCH HIPERMERCADO S.A","PALHOCA","SC"
"80170","KOCH HIPERMERCADO S.A","PALHOCA","SC"
"80170","KOCH HIPERMERCADO S.A","PALHOCA","SC"
"80170","KOCH HIPERMERCADO S.A","PALHOCA","SC"
"76328","MATEUS SUPERMERCADOS S.A","MACEIO","AL"
"30550","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO BERNARDO DO CAMPO","SP"
"78398","IRMAOS ZAT LTDA","CAMPOS NOVOS","SC"
"78398","IRMAOS ZAT LTDA","CAMPOS NOVOS","SC"
"77927","CASTANHA E CASTANHA LTDA","NOVO PROGRESSO","PA"
"31317","CARREFOUR COMERCIO E INDUSTRIA LTDA","CACAPAVA","SP"
"31317","CARREFOUR COMERCIO E INDUSTRIA LTDA","CACAPAVA","SP"
"31317","CARREFOUR COMERCIO E INDUSTRIA LTDA","CACAPAVA","SP"
"31317","CARREFOUR COMERCIO E INDUSTRIA LTDA","CACAPAVA","SP"
"31317","CARREFOUR COMERCIO E INDUSTRIA LTDA","CACAPAVA","SP"
"51736","SUPERM SERTANIA COM DE ALIMENTOS LTDA","JUQUIA","SP"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68924","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"43057","SUPERMERCADO SANTO AMARO LTDA","SANTO AMARO DA IMPERATRIZ","SC"
"79688","IMPORTADORA E EXPORTADORA DE CEREAIS S/A","IMBE","RS"
"75759","SUPERMERCADOS  MAMBO LTDA","SAO PAULO","SP"
"75759","SUPERMERCADOS  MAMBO LTDA","SAO PAULO","SP"
"75759","SUPERMERCADOS  MAMBO LTDA","SAO PAULO","SP"
"75759","SUPERMERCADOS  MAMBO LTDA","SAO PAULO","SP"
"78505","SUPER LUCAS SUPERMERCADOS LTDA","CAMPOS NOVOS","SC"
"78505","SUPER LUCAS SUPERMERCADOS LTDA","CAMPOS NOVOS","SC"
"78505","SUPER LUCAS SUPERMERCADOS LTDA","CAMPOS NOVOS","SC"
"78505","SUPER LUCAS SUPERMERCADOS LTDA","CAMPOS NOVOS","SC"
"78505","SUPER LUCAS SUPERMERCADOS LTDA","CAMPOS NOVOS","SC"
"78505","SUPER LUCAS SUPERMERCADOS LTDA","CAMPOS NOVOS","SC"
